"市町村","タイトル","所在地","緯度","経度","写真1","写真2","写真3","写真4","写真5","写真6","写真7","写真8","写真9","写真10","連絡先","分類","災害種別","備考"
"","養護老人ホーム鳴愛荘","鳴門市鳴門町土佐泊浦字黒山118-84","34.206933","134.625944","","","","","","","","","","","088-687-2555","指定避難所（法指定）,福祉避難所（法指定）","","福祉避難所（1階食堂及び2～4階食堂・談話室）"
"","市場小学校（体育館）","阿波市市場町市場字上野段670","34.0871066751394","134.286768660059","","","","","","","","","","","0883-36-8741","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","国府中学校","徳島市国府町府中68番地の1","34.071538","134.483578","","","","","","","","","","","","指定避難所（法指定）","",""
"","宝田公民館","阿南市宝田町久保田97-1","33.9230064415896","134.637522250425","","","","","","","","","","","0884-22-0234","指定避難所（法指定）","",""
"","岩脇小学校","阿南市羽ノ浦町岩脇町筋87","33.942416","134.615629","","","","","","","","","","","0884-44-2234","指定避難所（法指定）","",""
"","岩脇福祉会館","阿南市羽ノ浦町岩脇町筋20-2","33.941672","134.618043","","","","","","","","","","","0884-44-3863","指定避難所（法指定）","",""
"","阿南市情報文化センター","阿南市羽ノ浦町中庄ナカレ16-3","33.954138","134.623745","","","","","","","","","","","0884-44-5000","指定緊急避難場所（法指定）,指定避難所（法指定）","津波",""
"","富岡東高等学校羽ノ浦校","阿南市羽ノ浦町中庄市50-1","33.95978","134.628085","","","","","","","","","","","0884-44-2054","指定緊急避難場所（法指定）,指定避難所（法指定）","津波",""
"","羽ノ浦公民館","阿南市羽ノ浦町宮倉大木38-4","33.953546","134.622298","","","","","","","","","","","0884-44-1120","指定緊急避難場所（法指定）,指定避難所（法指定）","津波",""
"","羽ノ浦小学校","阿南市羽ノ浦町中庄原婦知1-1","33.95824","134.62772","","","","","","","","","","","0884-44-2053","指定緊急避難場所（法指定）,指定避難所（法指定）","津波",""
"","撫養幼稚園","鳴門市撫養町斎田字岩崎134-3","34.1777851501463","134.601299589794","","","","","","","","","","","088-686-4093","指定避難所（法指定）","","避難所"
"","那賀川図書館","阿南市那賀川町苅屋308-1","33.951165","134.660754","","","","","","","","","","","0884-42-3111","指定避難所（法指定）","",""
"","平島こどもセンター","阿南市那賀川町苅屋370-5","33.949804","134.66128","","","","","","","","","","","0884-21-2002","指定避難所（法指定）","",""
"","徳島中学校","徳島市中前川町3丁目16番地","34.080033","134.55309","","","","","","","","","","","","指定避難所（法指定）","",""
"","今津小学校","阿南市那賀川町敷地238","33.963855","134.646302","","","","","","","","","","","0884-42-0702","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階以上"
"","椿公民館椿泊分館","阿南市椿泊町出島9","33.832895","134.67788","","","","","","","","","","","0884-33-0003","指定避難所（法指定）","",""
"","阿南Ｂ＆Ｇ海洋センター体育館","阿南市津乃峰町長浜387","33.887716","134.65425","","","","","","","","","","","0884-27-2427","指定避難所（法指定）","",""
"","阿南市武道館","阿南市大潟町210-56","33.884777","134.668482","","","","","","","","","","","0884-28-1533","指定避難所（法指定）","",""
"","見能林幼稚園","阿南市見能林町東野10-2","33.899364","134.673122","","","","","","","","","","","0884-22-7500","指定避難所（法指定）","",""
"","山口小学校","阿南市山口町久延69-1","33.872758","134.581243","","","","","","","","","","","0884-26-0204","指定避難所（法指定）","",""
"","加茂谷中学校","阿南市加茂町南不け1","33.914464","134.55044","","","","","","","","","","","0884-25-0012","指定避難所（法指定）","",""
"","加茂谷総合センター","阿南市加茂町野上22-11","33.921462","134.553034","","","","","","","","","","","0884-25-0113","指定避難所（法指定）","",""
"","大野隣保館","阿南市中大野町南傍示249-1","33.927965","134.589461","","","","","","","","","","","0884-23-2716","指定避難所（法指定）","",""
"","大野小学校","阿南市下大野町三条5","33.934548","134.595587","","","","","","","","","","","0884-22-1004","指定避難所（法指定）","",""
"","阿南支援学校","阿南市上大野町大山田52","33.92545","134.58194","","","","","","","","","","","0884-22-2010","指定避難所（法指定）","",""
"","長生小学校","阿南市長生町五反地25-2","33.909941","134.616659","","","","","","","","","","","0884-22-0604","指定避難所（法指定）","",""
"","新野東小学校","阿南市新野町是国37-2","33.844952","134.603913","","","","","","","","","","","0884-36-2103","指定避難所（法指定）","",""
"","桑野公民館","阿南市山口町内田150-1","33.871398","134.603763","","","","","","","","","","","0884-26-1644","指定避難所（法指定）","",""
"","桑野小学校","阿南市桑野町岡元40-1","33.873462","134.611552","","","","","","","","","","","0884-26-0200","指定避難所（法指定）","",""
"","長生隣保館","阿南市長生町舟田58","33.916113","134.629877","","","","","","","","","","","0884-22-1919","指定避難所（法指定）","",""
"","阿南第一中学校","阿南市長生町西方589-1","33.927017","134.624512","","","","","","","","","","","0884-22-1404","指定避難所（法指定）","",""
"","新野高等学校","阿南市新野町室の久保12","33.850477","134.596016","","","","","","","","","","","0884-36-3215","指定避難所（法指定）","",""
"","伊島中学校","阿南市伊島町瀬戸3","33.844248","134.808598","","","","","","","","","","","0884-33-0321","指定避難所（法指定）","",""
"","科学センター","阿南市那賀川町上福井南川渕8-1","33.948854","134.681745","","","","","","","","","","","0884-42-1600","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階以上"
"","阿南市クリーンピュア","阿南市熊谷町定方44","33.916565","134.577971","","","","","","","","","","","0884-21-5374","指定避難所（法指定）","",""
"","新野小学校","阿南市南宮ノ久保70-1","33.847144","134.580975","","","","","","","","","","","0884-36-2021","指定避難所（法指定）","",""
"","かもだ岬温泉保養施設","阿南市椿町船瀬60-2","33.831409","134.725892","","","","","","","","","","","0884-21-3030","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","敷地、建物"
"","福井中学校","阿南市福井町大西141","33.838687","134.62299","","","","","","","","","","","0884-34-2234","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階以上"
"","横見小学校","阿南市横見町前長岡67-1","33.928918","134.655492","","","","","","","","","","","0884-22-0363","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階以上"
"","那賀川公民館","阿南市那賀川町今津浦喜来31-1","33.962094","134.651517","","","","","","","","","","","0884-21-2019","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階"
"","黒地文化センター","阿南市那賀川町黒地712-1","33.964058","134.641422","","","","","","","","","","","0884-42-2085","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階"
"","橘こどもセンター","阿南市橘町久保38-3","33.875131","134.640418","","","","","","","","","","","0884-26-8800","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階"
"","福井南小学校（休校中）","阿南市福井町日の池122-1","33.798757","134.589553","","","","","","","","","","","0884-22-3391","指定避難所（法指定）","",""
"","椿泊小学校","阿南市椿泊町東127","33.844489","134.716061","","","","","","","","","","","0884-33-0014","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","グラウンド"
"","福井町総合センター","阿南市福井町古津198-2","33.836894","134.620964","","","","","","","","","","","0884-34-2250","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","敷地、建物"
"","津乃峰小学校","阿南市津乃峰町戎山129-37","33.884427","134.649929","","","","","","","","","","","0884-27-0227","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","3階"
"","津乃峰総合センター","阿南市津乃峰町長浜","33.884897","134.660064","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","3階以上"
"","阿南工業高等専門学校","阿南市見能林町青木265","33.898017","134.667706","","","","","","","","","","","0884-23-7100","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","屋上"
"","見能林小学校","阿南市見能林町西内35","33.900698","134.670453","","","","","","","","","","","0884-22-0506","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階以上"
"","見能林公民館","阿南市見能林町念仏免4-1","33.901199","134.669485","","","","","","","","","","","0884-22-0501","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階"
"","富岡幼稚園","阿南市領家町浜田182-1","33.922922","134.668613","","","","","","","","","","","0884-22-0561","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階"
"","阿南ひまわり会館","阿南市富岡町北通33-1","33.921453","134.662664","","","","","","","","","","","0884-23-6600","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階以上"
"","阿南社会福祉会館","阿南市今福寺40-17","33.918584","134.662302","","","","","","","","","","","0884-22-3290","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階以上"
"","スポーツ総合センター","阿南市七見町下川田100-1","33.919641","134.684814","","","","","","","","","","","0884-22-2300","指定緊急避難場所（法指定）,指定避難所（法指定）","津波","2階"
"","保健センター・ミリカホール","小松島町字新港9-10","34.010227","134.588594","","","","","","","","","","","0885-32-3551","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,内水氾濫",""
"","コミュニティ交流センターみさき","和田島町字遠見73-11","34.007633","134.628096","","","","","","","","","","","","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,内水氾濫",""
"","元根井漁村センター","小松島町字根井33-3","34.01575","134.5909","","","","","","","","","","","","指定避難所（法指定）","",""
"","牛島体育館","鴨島町牛島番外3番地1","34.0777023284051","134.374995091921","","","","","","","","","","","0883-22-2271","指定避難所（法指定）","",""
"","東とくしま農業協同組合立江支所","立江町字清水185-2","33.966632","134.603366","","","","","","","","","","","0885-38-2131","指定避難所（法定外）","",""
"","児安公民館","田浦町字近里9-1","34.001572","134.564812","","","","","","","","","","","0885-32-2700","指定避難所（法指定）","",""
"","世代間交流健康センター","中郷町字桜馬場37","34.013754","134.571049","","","","","","","","","","","0885-32-2122","指定避難所（法指定）","",""
"","地蔵寺","松島町11","34.008087","134.582283","","","","","","","","","","","0885-32-1043","指定避難所（法定外）","",""
"","サービス付き高齢者向け住宅ほほえみ","鳴門市撫養町立岩字五枚220-1","34.1640147814303","134.620404092601","","","","","","","","","","","088-683-1022","指定避難所（法指定）,福祉避難所（法指定）","","福祉避難所（研修室）"
"","旧北灘中学校（体育館）","鳴門市北灘町大浦字東浦75","34.2241915366904","134.525405058855","","","","","","","","","","","088-684-1330","指定避難所（法指定）","","避難所（閉校）"
"","今津こどもセンター","阿南市那賀川町今津浦喜来65-1","33.961215","134.650508","","","","","","","","","","","0884-42-0720","指定避難所（法指定）","",""
"","老人ホーム福寿荘","阿南市畭町亀崎93-7","33.916491","134.697609","","","","","","","","","","","0884-23-3440","指定緊急避難場所（法指定）,指定避難所（法指定）,福祉避難所（法指定）","津波","2階以上"
"","中野島総合センター","阿南市柳島町中川原20-3","33.933213","134.640681","","","","","","","","","","","0884-22-1669","指定緊急避難場所（法指定）,指定避難所（法指定）","津波",""
"","ヴィラ羽ノ浦","阿南市羽ノ浦町岩脇上平69","33.94535","134.613218","","","","","","","","","","","0884-21-8181","指定避難所（法定外）,福祉避難所（法定外）","",""
"","徳島文理中高等学校","徳島市山城西4丁目20番地","34.048321","134.556207","","","","","","","","","","","","指定避難所（法定外）","",""
"","蔵本公園野球場","徳島市庄町1丁目76番地の2","34.074506","134.513496","","","","","","","","","","","","指定避難所（法定外）","",""
"","養護老人ホーム羽ノ浦荘","阿南市羽ノ浦町明見135-1","33.9412432977364","134.599068535068","","","","","","","","","","","0884-44-5666","指定避難所（法定外）,福祉避難所（法定外）","",""
"","社会就労センターかもな","南庄町5丁目77番地の２","34.069726","134.50519","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","障害者支援施設健祥苑","応神町古川字北25番地の１","34.106652","134.548731","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","特別養護老人ホーム　青藍荘","名西郡石井町高原字中須８－１","34.08444165","134.3992064","","","","","","","","","","","088-674-1230","指定避難所（法定外）,福祉避難所（法定外）","",""
"","北井上コミュニティセンター","国府町西黒田字南傍示２７１番地","34.09973","134.466291","","","","","","","","","","","","指定避難所（法指定）","",""
"","西矢野会館","徳島市国府町延命字地蔵木418番地の1","34.048809","134.478906","","","","","","","","","","","","指定避難所（法定外）","",""
"","国府コミュニティセンター","徳島市国府町府中59番地の4","34.071322","134.482765","","","","","","","","","","","","指定避難所（法指定）","",""
"","顕正寺","徳島市不動東町1丁目1437番地の1","34.092602","134.510977","","","","","","","","","","","","指定避難所（法定外）","",""
"","上八万コミュニティセンター","徳島市上八万町樋口61番地","34.036535","134.507324","","","","","","","","","","","","指定避難所（法指定）","",""
"","一宮コミュニティセンター","徳島市一宮町東丁234番地の2","34.038827","134.472493","","","","","","","","","","","","指定避難所（法指定）","",""
"","JA徳島市多家良支所","徳島市多家良町小路地80番地の1","33.993202","134.533612","","","","","","","","","","","","指定避難所（法定外）","",""
"","飯谷小学校","徳島市飯谷町杉尾1番地の1","33.969381","134.556234","","","","","","","","","","","","指定避難所（法指定）","",""
"","JA徳島市眉山支所","徳島市上八万町下中筋98番地の1","34.037342","134.513361","","","","","","","","","","","","指定避難所（法定外）","",""
"","一宮小学校","徳島市一宮町東丁224番地","34.038658","134.471326","","","","","","","","","","","","指定避難所（法指定）","",""
"","方上小学校","徳島市北山町下地1番地の3","34.024939","134.536257","","","","","","","","","","","","指定避難所（法指定）","",""
"","徳島文理大学","徳島市山城町西浜傍示180番地","34.053442","134.557972","","","","","","","","","","","","指定避難所（法定外）","",""
"","かんぽの宿","徳島市八万町中津山3番地の70","34.066907","134.530828","","","","","","","","","","","","指定避難所（法定外）","",""
"","JA徳島市八万支所","徳島市南二軒屋町一丁目1番22号","34.054971","134.546422","","","","","","","","","","","","指定避難所（法定外）","",""
"","JA徳島市徳島支所","徳島市北田宮四丁目1番46号","34.087013","134.53491","","","","","","","","","","","","指定避難所（法定外）","",""
"","加茂名中央会館","徳島市庄町5丁目92番地","34.075295","134.504888","","","","","","","","","","","","指定避難所（法定外）","",""
"","島田会館","徳島市北島田町3丁目66番地の1","34.088077","134.512423","","","","","","","","","","","","指定避難所（法定外）","",""
"","天理教国名大教会","徳島市名東町2丁目332番地","34.060941","134.500149","","","","","","","","","","","","指定避難所（法定外）","",""
"","JA会館","徳島市北佐古一番町5番12号","34.082059","134.53851","","","","","","","","","","","","指定避難所（法定外）","",""
"","指定障害者支援施設箸蔵山荘","三好市池田町州津井関1121-1","34.038886879547","133.837860524656","","","","","","","","","","","0883-72-1487","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者や障害者、妊婦ら、一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。一般の避難所の状況を判断した上で必要な時に開設するため、最初から避難所としては利用できません。"
"","城東小学校","徳島市住吉三丁目2番5号","34.077385","134.570332","","","","","","","","","","","","指定避難所（法指定）","",""
"","三好市養護老人ホーム若宮荘","三好市西祖谷山村一宇343-1","33.8934021740522","133.817121684541","","","","","","","","","","","0883-87-2121","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者や障害者、妊婦ら、一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。一般の避難所の状況を判断した上で必要な時に開設するため、最初から避難所としては利用できません。"
"","三好市養護老人ホーム敬寿荘","三好市井川町大佐古23","34.0312673494763","133.886038362962","","","","","","","","","","","0883-78-2124","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者や障害者、妊婦ら、一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。一般の避難所の状況を判断した上で必要な時に開設するため、最初から避難所としては利用できません。
平成２７年６月１日～平成２８年３月まで施設改修工事により閉鎖中
"
"","三好市特別養護老人ホーム長生園","三好市三野町勢力768-1","34.0524527497712","133.979631364343","","","","","","","","","","","0883-77-2153","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者や障害者、妊婦ら、一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。一般の避難所の状況を判断した上で必要な時に開設するため、最初から避難所としては利用できません。"
"","徳島市社会福祉センター","徳島市徳島町城内2番地の1","34.070005","134.556336","","","","","","","","","","","","指定避難所（法定外）","",""
"","特別養護老人ホーム山城荘","三好市山城町西宇1227-4","33.9131862392426","133.759295940405","","","","","","","","","","","0883-84-1177","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者や障害者、妊婦ら、一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。一般の避難所の状況を判断した上で必要な時に開設するため、最初から避難所としては利用できません。"
"","福島小学校","徳島市福島一丁目7番28号","34.070276","134.566469","","","","","","","","","","","","指定避難所（法指定）","",""
"","城東中学校","徳島市安宅三丁目2番76号","34.069369","134.577799","","","","","","","","","","","","指定避難所（法指定）","",""
"","眉山園デイサービスセンター","南庄町5丁目77番地の３","34.06988","134.504369","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","養護老人ホーム健祥会頼朝","三好市東祖谷古味36-1","33.839006304163","133.894337117651","","","","","","","","","","","0883-88-5555","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者や障害者、妊婦ら、一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。一般の避難所の状況を判断した上で必要な時に開設するため、最初から避難所としては利用できません。"
"","特別養護老人ホーム永楽荘","三好市池田町州津西ノ久保291-1","34.0351105410532","133.840110898003","","","","","","","","","","","0883-72-2700","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者や障害者、妊婦ら、一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。一般の避難所の状況を判断した上で必要な時に開設するため、最初から避難所としては利用できません。"
"","障害者支援施設希望の郷","西新浜町二丁目3番78号","34.042015","134.557828","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","ケアハウス健祥会リバティ","応神町古川字北39番地２","34.106649","134.547582","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","介護老人福祉施設やまもも荘","下町本丁59番地の１９","34.036553","134.486931","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","特別養護老人ホームピア","八万町大野5番地の５","34.0438","134.550025","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","青香福祉会デイサービスセンター","川内町平石住吉183番地","34.113989","134.585983","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","介護老人保健施設三成会キュアセンター","南矢三町三丁目3番31号","34.083889","134.521333","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","介護老人保健施設国府リハビリテーションフェニックス","国府町井戸字左ケ池39番地の１","34.088214","134.48365","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","阿波老人ホーム仙寿園","住吉四丁目11番10号","34.082679","134.568475","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","ケアハウスとみだ","中昭和町3丁目48番地の１","34.0612208","134.559349","","","","","","","","","","","","指定避難所（法定外）,福祉避難所（法定外）","",""
"","足代小学校・グラウンド・体育館","東みよし町足代2711","34.04335","133.901878","","","","","","","","","","","0883-79-3630","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事,内水氾濫",""
"","加茂小学校・グラウンド・体育館","東みよし町加茂2688","34.036629","133.923433","","","","","","","","","","","0883-79-3630","指定緊急避難場所（法指定）,指定避難所（法指定）","洪水,崖崩れ等,地震,大規模な火事","体育館のみ耐震性能あり"
"","グループホーム空","三好市池田町白地ウマバ456-1","34.0383312193348","133.785155117508","","","","","","","","","","","0883-74-1010","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者や障害者、妊婦ら、一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。一般の避難所の状況を判断した上で必要な時に開設するため、最初から避難所としては利用できません。"
"","大歩危祖谷阿波温泉あわの抄","三好市池田町白地本名165-6","34.0157194297643","133.781456351307","","","","","","","","","","","0883-74-1414","指定避難所（法定外）,福祉避難所（法定外）","","災害時に高齢者や障害者、妊婦ら、一般の避難所では生活に支障があり、特別な配慮を必要とする人を受け入れる2次避難所。一般の避難所の状況を判断した上で必要な時に開設するため、最初から避難所としては利用できません。"
"","コスモスの里","阿南市羽ノ浦町明見135-１","33.94127","134.598516","","","","","","","","","","","0884-44-5667","指定避難所（法定外）,福祉避難所（法定外）","",""
"","特別養護老人ホーム春潮苑　","撫養町立岩字五枚146","34.16648323","134.620741","","","","","","","","","","","088-684-1330","指定避難所（法指定）,福祉避難所（法指定）","","２階　機能回復訓練室　"
"","木津野集会所","鳴門市大津町木津野字野神ノ越56-3","34.163768","134.588147","","","","","","","","","","","088-684-1330","指定避難所（法指定）","","避難所"
"","徳島商業高等学校","徳島市城東町一丁目4番1号","34.074524","134.573314","","","","","","","","","","","","指定避難所（法定外）","",""
"","県立総合福祉センター","徳島市中昭和町1丁目2番地","34.060917","134.556266","","","","","","","","","","","","指定避難所（法定外）","",""
"","昭和コミュニティセンター","徳島市中昭和町4丁目49番地の1","34.060675","134.561606","","","","","","","","","","","","指定避難所（法指定）","",""
"","富田中学校","徳島市中昭和町3丁目77番地","34.059877","134.558272","","","","","","","","","","","","指定避難所（法指定）","",""
"","ポリテクセンター徳島","徳島市昭和町8丁目27番地の20","34.055394","134.574314","","","","","","","","","","","","指定避難所（法定外）","",""
"","昭和小学校","徳島市中昭和町5丁目60番地","34.059308","134.563723","","","","","","","","","","","","指定避難所（法指定）","",""
"","東富田コミュニティセンター","徳島市中央通4丁目18番地","34.061975","134.554802","","","","","","","","","","","","指定避難所（法指定）","",""
"","県精神保健福祉センター","徳島市新蔵町3丁目80番地","34.070151","134.560837","","","","","","","","","","","","指定避難所（法定外）","",""
"","内町コミュニティセンター(幸町会館)","徳島市幸町3丁目71番地の1","34.068783","134.554769","","","","","","","","","","","","指定避難所（法指定）","",""
"","あわぎんホール(徳島県郷土文化会館)","徳島市藍場町2丁目14番地","34.0750568753995","134.546483770297","","","","","","","","","","","","指定避難所（法定外）","",""
"","方上公民館","徳島市北山町下地1番地","34.025543","134.535871","","","","","","","","","","","","指定避難所（法定外）","",""
"","徳島県建設セン夕ー","徳島市富田浜2丁目10番地の2","34.067121","134.552484","","","","","","","","","","","","指定避難所（法定外）","",""
"","西富田コミュニティセンター","徳島市弓町1丁目17番地","34.066449","134.546003","","","","","","","","","","","","指定避難所（法指定）","",""
"","天理教名東大教会","徳島市幟町1丁目32番地","34.065934","134.546117","","","","","","","","","","","","指定避難所（法定外）","",""
"","徳島市中央公民館","徳島市徳島町城内2番地の1","34.070498","134.556277","","","","","","","","","","","","指定避難所（法定外）","",""
"","とくぎんトモニプラザ(県立青少年センター)","徳島市徳島町城内2番地の1","34.070613","134.556288","","","","","","","","","","","","指定避難所（法定外）","",""
"","徳島市立体育館","徳島市徳島町城内6番地","34.076408","134.549904","","","","","","","","","","","","指定避難所（法定外）","",""
"","JA徳島市北井上支所","徳島市国府町西黒田字南傍示207番地の1","34.099123","134.466273","","","","","","","","","","","","指定避難所（法定外）","",""
"","徳島市農村環境改善センター","徳島市国府町井戸字高池窪48番地","34.087104","134.483413","","","","","","","","","","","","指定避難所（法定外）","",""
"","井戸北公会堂","徳島市国府町井戸字北屋敷63番地","34.084145","134.485597","","","","","","","","","","","","指定避難所（法定外）","",""
"","南井上コミュニティセンター","徳島市国府町日開944番地の1","34.084934","134.476229","","","","","","","","","","","","指定避難所（法指定）","",""
"","南井上小学校","徳島市国府町日開1007番地の2","34.086396","134.475853","","","","","","","","","","","","指定避難所（法指定）","",""
"","生光学園","徳島市応神町中原38番地","34.109568","134.533373","","","","","","","","","","","","指定避難所（法定外）","",""
"","応神コミュニティセンター","徳島市応神町吉成字西吉成91番地の5","34.114296","134.526896","","","","","","","","","","","","指定避難所（法指定）","",""
"","四国大学","徳島市応神町古川字戎子野123番地の1","34.102175","134.553573","","","","","","","","","","","","指定避難所（法定外）","",""
"","応神小学校","徳島市応神町吉成字西吉成91番地の1","34.114905","134.526923","","","","","","","","","","","","指定避難所（法指定）","",""
"","市立スポーツセンター","徳島市川内町沖島571番地の2","34.102493","134.570943","","","","","","","","","","","","指定避難所（法定外）","",""
"","川内町民会館","徳島市川内町沖島260番地","34.107452","134.573658","","","","","","","","","","","","指定避難所（法指定）","",""
"","川内南小学校","徳島市川内町宮島本浦5番地の2","34.095148","134.583174","","","","","","","","","","","","指定避難所（法指定）","",""
"","不動文化会館","徳島市不動東町4丁目1519番地の1","34.094848","134.510821","","","","","","","","","","","","指定避難所（法定外）","",""
"","不動コミュニティセンター","徳島市不動本町2丁目178番地の1","34.093795","134.506323","","","","","","","","","","","","指定避難所（法指定）","",""
"","不動公民館喜来分館","徳島市不動西町3丁目770番地の1","34.090483","134.496689","","","","","","","","","","","","指定避難所（法定外）","",""
"","川内北小学校","徳島市川内町大松133番地","34.11413158","134.5740676","","","","","","","","","","","","指定避難所（法指定）","",""
"","JA徳島市眉山支所西部出張所","徳島市入田町春日108番地の1","34.042592","134.440159","","","","","","","","","","","","指定避難所（法定外）","",""
"","徳島カントリークラブ","徳島市入田町月の宮227番地","34.050597","134.443753","","","","","","","","","","","","指定避難所（法定外）","",""
"","入田コミュニティセンター","徳島市入田町春日121番地の1","34.044099","134.442009","","","","","","","","","","","","指定避難所（法指定）","",""
"","入田小・中学校","徳島市入田町春日181番地の1","34.041934","134.441999","","","","","","","","","","","","指定避難所（法指定）","",""
"","徳島市しらさぎ台まちづくり活動センター(しらさぎドーム)","徳島市上八万町西山1430番地","34.031652","134.490461","","","","","","","","","","","","指定避難所（法定外）","",""
"","上八万中学校","徳島市下町本丁131番地","34.036889","134.483299","","","","","","","","","","","","指定避難所（法指定）","",""
"","多家良中央コミュニティセンター","徳島市多家良町小路地10番地","33.991258","134.534304","","","","","","","","","","","","指定避難所（法指定）","",""
"","丈六保育所","徳島市丈六町休場6番地の6","34.004514","134.544696","","","","","","","","","","","","指定避難所（法定外）","",""
"","宮井小学校八多分校","徳島市八多町町田38番地","33.993722","134.516205","","","","","","","","","","","","指定避難所（法定外）","",""
"","上八万小学校","徳島市上八万町樋口52番地","34.036591","134.508297","","","","","","","","","","","","指定避難所（法指定）","",""
"","丈六コミュニティセンター","徳島市丈六町八万免14番地","34.008536","134.546337","","","","","","","","","","","","指定避難所（法指定）","",""
"","天理教勝浦分教会","徳島市飯谷町高良7番地の3","33.984497","134.546626","","","","","","","","","","","","指定避難所（法定外）","",""
"","特別養護老人ホーム青葉荘","徳島市飯谷町上里42番地の1","33.966091","134.548619","","","","","","","","","","","","指定避難所（法定外）","",""
"","飯谷公民館","徳島市飯谷町上里38番地の1","33.965791","134.548674","","","","","","","","","","","","指定避難所（法定外）","",""
"","八多保育所","徳島市八多町南曽根13番地の1","33.993768","134.520648","","","","","","","","","","","","指定避難所（法定外）","",""
"","渋野公民館","徳島市渋野町宮前138番地","34.008691","134.52732","","","","","","","","","","","","指定避難所（法定外）","",""
"","宮井小学校","徳島市多家良町小路地45番地","33.989924","134.533124","","","","","","","","","","","","指定避難所（法指定）","",""
"","県営住宅西須賀団地集会所","徳島市西須賀町東開52番地の2","34.030558","134.547887","","","","","","","","","","","","指定避難所（法定外）","",""
"","南部中学校","徳島市勝占町外敷地62番地","34.016984","134.556432","","","","","","","","","","","","指定避難所（法指定）","",""
"","勝占東部コミュニティセンター","徳島市大原町中須17番地の2","34.028115","134.567118","","","","","","","","","","","","指定避難所（法指定）","",""
"","勝占中部コミュニティセンター","徳島市勝占町中須76番地の2","34.023799","134.551725","","","","","","","","","","","","指定避難所（法指定）","",""
"","JA徳島市勝占支所","徳島市勝占町中須１５番地","34.023498","134.551535","","","","","","","","","","","","指定避難所（法定外）","",""
"","アスティとくしま","徳島市山城町東浜傍示1番地","34.053095","134.563551","","","","","","","","","","","","指定避難所（法定外）","",""
"","八万南小学校","徳島市八万町橋本111番地","34.042916","134.532351","","","","","","","","","","","","指定避難所（法指定）","",""
